battery,KWh,price1,,solar panel,W,price2,area,
,0,0,,,0,0,,
Enphase AC Battery,1.2,1699,https://www.which.co.uk/,JA Solar JAP60S10-285/SC Poly,285,84,1.68,https://www.tradesparky.com/
2,2.4,3398,,JA Solar JAM60S02-300/PR Perc Black,300,98,1.64,https://www.tradesparky.com/
LG Chem RESU 48V 3.3,2.9,2200,https://www.solarguide.co.uk/,JA Solar JAM60S02-305/PR Perc Black,305,100,1.64,https://www.tradesparky.com/
Duracell Energy Bank,3.3,4499,https://www.which.co.uk/,JA Solar JAM60S10-335/PR BF Half Cell,335,123,1.7,https://www.tradesparky.com/
Varta Pulse 3,3.3,3729,https://www.which.co.uk/,Canadian Solar CS3L-360MS 360W Mono 120C All Black,360,147,1.85,https://www.tradesparky.com/
Samsung SDI 3.6kWh,3.6,5500,https://www.solarguide.co.uk/,Canadian Solar CS3L-375MS 375W Silver Frame,375,147,1.85,https://www.tradesparky.com/
Nissan xStorage 3.6KWH,3.6,3000,https://www.solarguide.co.uk/,JA Solar JAM60S20-380/MR 380W Mono Black Frame White Backsheet,380,150,,https://www.tradesparky.com/
3,3.6,5097,,JA Solar JAM60S20-390MR 390W Half-Cell Module Black Frame White Backsheet,390,163,1.86,https://www.tradesparky.com/
Powervault 3 Model 4,4,4740,https://www.solarguide.co.uk/,Trina TSM-DE09.05 390W Module Mono B/W 120C,390,189,1.92,https://www.tradesparky.com/
LG Chem RESU 48V 6.5,4.2,3300,https://www.solarguide.co.uk/,JA Solar JAM54S31-395/MR PERC Half-Cell Black Module 395W,395,171,,https://www.tradesparky.com/
Purestorage II Hybrid,4.8,1555,https://www.solarguide.co.uk/,JA Solar JAM54S30-405/MR 405W Black Frame Half Cell,405,167,1.95,https://www.tradesparky.com/
4,4.8,6796,,JA Solar JAM54S30-410/MR Black Frame Half Cell Solar PV Panel,410,188,1.95,https://www.tradesparky.com/
solax GEN 3 X1HYBRID-5000,5,1163,https://www.tradesparky.com/,2,570,168,,
solax triple power,5.8,2412,https://www.tradesparky.com/,2,600,196,,
2,5.8,4400,,2,610,200,,
LG Chem RESU 48V 7H,6.6,4400,https://www.solarguide.co.uk/,2,670,246,,
2,6.6,8998,,2,720,294,,
2,6.6,7458,,2,750,294,,
2,7.2,11000,,2,760,300,,
2,7.2,6000,,2,780,326,,
Powervault 3 Model 8,8,7020,https://www.solarguide.co.uk/,2,780,378,,
2,8,9480,,2,790,342,,
2,8.4,6600,,2,810,334,,
3,8.7,6600,,2,820,376,,
LG Chem RESU 48V 10,8.8,4400,https://www.solarguide.co.uk/,3,855,252,,
2,9.6,3110,,3,900,294,,
3,9.9,13497,,3,915,300,,
3,9.9,11187,,3,1005,369,,
Puredrive AC Coupled,10,8398,https://www.tradesparky.com/,3,1080,441,,
LG RESU10H,10,5468,https://www.tradesparky.com/,3,1125,441,,
SolarEdge BAT-10K1PSOB-01,10,5522,https://www.tradesparky.com/,3,1140,450,,
2,10,2326,,4,1140,336,,
3,10.8,16500,,3,1170,489,,
3,10.8,9000,,3,1170,567,,
2,11.6,4824,,3,1185,513,,
4,11.6,8800,,4,1200,392,,
Powervault 3 Model 12,12,9420,https://www.solarguide.co.uk/,3,1215,501,,
3,12,14220,,4,1220,400,,
3,12.6,9900,,3,1230,564,,
2,13.2,8800,,4,1340,492,,
4,13.2,17996,,5,1425,420,,
4,13.2,14916,,4,1440,588,,
Tesla Powerwall 2.0,13.5,7900,https://www.solarguide.co.uk/,4,1500,588,,
Tesla Powerwall,13.5,6200,https://www.which.co.uk/,5,1500,490,,
,,,,4,1520,600,,
,,,,5,1525,500,,
,,,,4,1560,652,,
,,,,4,1560,756,,
,,,,4,1580,684,,
,,,,4,1620,668,,
,,,,4,1640,752,,
,,,,5,1675,615,,
,,,,6,1710,504,,
,,,,5,1800,735,,
,,,,6,1800,588,,
,,,,6,1830,600,,
,,,,5,1875,735,,
,,,,5,1900,750,,
,,,,5,1950,815,,
,,,,5,1950,945,,
,,,,5,1975,855,,
,,,,7,1995,588,,
,,,,6,2010,738,,
,,,,5,2025,835,,
,,,,5,2050,940,,
,,,,7,2100,686,,
,,,,7,2135,700,,
,,,,6,2160,882,,
,,,,6,2250,882,,
,,,,6,2280,900,,
,,,,8,2280,672,,
,,,,6,2340,978,,
,,,,6,2340,1134,,
,,,,7,2345,861,,
,,,,6,2370,1026,,
,,,,8,2400,784,,
,,,,6,2430,1002,,
,,,,8,2440,800,,
,,,,6,2460,1128,,
,,,,7,2520,1029,,
,,,,9,2565,756,,
,,,,7,2625,1029,,
,,,,7,2660,1050,,
,,,,8,2680,984,,
,,,,9,2700,882,,
,,,,7,2730,1141,,
,,,,7,2730,1323,,
,,,,9,2745,900,,
,,,,7,2765,1197,,
,,,,7,2835,1169,,
,,,,10,2850,840,,
,,,,7,2870,1316,,
,,,,8,2880,1176,,
,,,,8,3000,1176,,
,,,,10,3000,980,,
,,,,9,3015,1107,,
,,,,8,3040,1200,,
,,,,10,3050,1000,,
,,,,8,3120,1304,,
,,,,8,3120,1512,,
,,,,8,3160,1368,,
,,,,8,3240,1336,,
,,,,9,3240,1323,,
,,,,8,3280,1504,,
,,,,10,3350,1230,,
,,,,9,3375,1323,,
,,,,9,3420,1350,,
,,,,9,3510,1467,,
,,,,9,3510,1701,,
,,,,9,3555,1539,,
,,,,10,3600,1470,,
,,,,9,3645,1503,,
,,,,9,3690,1692,,
,,,,10,3750,1470,,
,,,,10,3800,1500,,
,,,,10,3900,1630,,
,,,,10,3900,1890,,
,,,,10,3950,1710,,
,,,,10,4050,1670,,
,,,,10,4100,1880,,
